,random_face_number,image_name,face_tensor,auto_gender
47,47,posts\sophieloehde\pic_40.jpeg,"tensor([280.5481,  94.8136, 470.3421, 324.0439])",Woman
48,48,posts\danj.klimaminister\pic_179.jpeg,"tensor([350.3246, 112.0301, 378.7355, 148.4376])",Man
49,49,posts\danj.klimaminister\pic_179.jpeg,"tensor([281.5331, 134.5590, 310.3958, 170.8736])",Woman
50,50,posts\danj.klimaminister\pic_179.jpeg,"tensor([193.9825,  99.4880, 230.9505, 146.2446])",Man
51,51,posts\danj.klimaminister\pic_179.jpeg,"tensor([ 20.3828,  93.5170,  61.1462, 146.9312])",Man
52,52,posts\danj.klimaminister\pic_179.jpeg,"tensor([448.0689, 137.8238, 474.7261, 169.0719])",Man
53,53,posts\danj.klimaminister\pic_179.jpeg,"tensor([620.8829,  87.4683, 641.2903, 122.6367])",Man
54,54,posts\kirstennormann\pic_6.jpeg,"tensor([  5.3320, 461.6842, 187.7195, 639.3892])",Woman
55,55,posts\torstenschackpedersen\pic_15.jpeg,"tensor([280.4831, 226.3960, 497.7717, 502.1221])",Man
56,56,posts\tommyahlers\pic_9.jpeg,"tensor([204.0910,  74.2108, 502.3012, 455.3322])",Woman
57,57,posts\larsloekke\pic_2.jpeg,"tensor([ 13.5972, 246.6938, 161.4187, 584.6689])",Man
58,58,posts\liselottblixt\pic_224.jpeg,"tensor([243.7663,  95.2920, 406.2582, 293.6590])",Woman
59,59,posts\charlottemolbaek\pic_48.jpeg,"tensor([253.6981,  36.5178, 408.7356, 238.7652])",Man
60,60,posts\heidibank\pic_15.jpeg,"tensor([305.7955, 158.9542, 535.5053, 436.6260])",Woman
61,61,posts\heidibank\pic_15.jpeg,"tensor([206.7854, 394.5757, 256.4545, 472.2110])",Woman
62,62,posts\heidibank\pic_15.jpeg,"tensor([  2.8639, 402.0208,  37.5733, 456.6165])",Man
63,63,posts\dennisflydtkjaer1\pic_18.jpeg,"tensor([332.4433, 392.9781, 438.3647, 542.0317])",Woman
64,64,posts\dennisflydtkjaer1\pic_18.jpeg,"tensor([449.2825, 200.3817, 605.0678, 396.0593])",Man
65,65,posts\bbbrandenborg\pic_5.jpeg,"tensor([130.6186, 149.0106, 325.6610, 424.0992])",Man
66,66,posts\larsbojemathiesen\pic_12.jpeg,"tensor([  8.4446, 159.4192, 189.5885, 388.8914])",Man
67,67,posts\victoria.r.velasquez\pic_64.jpeg,"tensor([ 58.1394, 239.4584, 146.8505, 353.6192])",Woman
68,68,posts\victoria.r.velasquez\pic_64.jpeg,"tensor([309.9089, 175.8945, 389.4280, 281.4068])",Woman
69,69,posts\victoria.r.velasquez\pic_64.jpeg,"tensor([507.1519, 194.1361, 587.4058, 298.1201])",Woman
70,70,posts\ftmktm\pic_121.jpeg,"tensor([282.1936, 187.9841, 328.8896, 246.0909])",Woman
71,71,posts\ftmktm\pic_121.jpeg,"tensor([593.9626, 240.5052, 638.1373, 306.6113])",Man
72,72,posts\ftmktm\pic_121.jpeg,"tensor([248.4316, 279.6805, 291.1410, 334.4628])",Woman
73,73,posts\ftmktm\pic_121.jpeg,"tensor([142.6834, 271.7563, 184.1095, 324.0525])",Woman
74,74,posts\ftmktm\pic_121.jpeg,"tensor([560.3659, 222.0568, 599.2569, 271.8032])",Woman
75,75,posts\ftmktm\pic_121.jpeg,"tensor([291.5540, 248.1237, 337.2133, 305.6486])",Woman
76,76,posts\ftmktm\pic_121.jpeg,"tensor([ 52.8750, 257.9248, 101.6870, 317.3443])",Woman
77,77,posts\sikandarsiddique_\pic_67.jpeg,"tensor([ 71.1043, 181.8897, 140.3950, 273.5960])",Man
78,78,posts\victoria.r.velasquez\pic_77.jpeg,"tensor([132.9294,  17.3952, 485.2449, 442.2111])",Woman
79,79,posts\akimati\pic_21.jpeg,"tensor([394.1821, 176.7799, 523.6846, 347.1466])",Woman
80,80,posts\akimati\pic_21.jpeg,"tensor([ 38.4834, 164.2996, 203.7987, 371.6491])",Woman
81,81,posts\marleneambo\pic_12.jpeg,"tensor([ 14.5976,  10.5149, 260.1382, 286.9172])",Woman
82,82,posts\mogensjensen\pic_79.jpeg,"tensor([144.9561, 136.1718, 230.4691, 247.7919])",Man
83,83,posts\traktortroels\pic_26.jpeg,"tensor([243.7145, 454.1700, 442.8821, 660.0626])",Woman
84,84,posts\traktortroels\pic_26.jpeg,"tensor([230.3110,  69.2088, 315.8825, 173.8094])",Man
